player_name,matches_played,total_minutes,sub_on,sub_off,minutes_per_match,early_sub_rate
Alessandro Nesta,2,212,0,0,106.0,0.0
Andrés Iniesta Luján,337,28785,72,105,85.41543026706232,0.3115727002967359
Lionel Andrés Messi Cuccittini,567,50592,55,60,89.22751322751323,0.10582010582010581
Alexis Alejandro Sánchez Sánchez,110,9222,22,49,83.83636363636364,0.44545454545454544
Neymar da Silva Santos Junior,155,13562,10,41,87.49677419354839,0.2645161290322581
David Villa Sánchez,76,6286,19,31,82.71052631578948,0.40789473684210525
Raúl García Escudero,52,4474,11,15,86.03846153846153,0.28846153846153844
Pedro Eliezer Rodríguez Ledesma,209,17256,64,90,82.56459330143541,0.430622009569378
Sergi Roberto Carnicer,153,13327,50,28,87.10457516339869,0.1830065359477124
Tiago Cardoso Mendes,24,2102,4,4,87.58333333333333,0.16666666666666666
Cristian Gabriel Rodríguez Barrotti,7,614,6,1,87.71428571428571,0.14285714285714285
Francesc Fàbregas i Soler,119,9942,19,47,83.54621848739495,0.3949579831932773
Jordi Alba Ramos,229,20438,18,30,89.24890829694323,0.13100436681222707
Sergio Busquets i Burgos,372,32025,40,89,86.08870967741936,0.239247311827957
Xavier Hernández Creus,263,22726,32,74,86.4106463878327,0.2813688212927757
Gabriel Fernández Arenas,54,4653,3,9,86.16666666666667,0.16666666666666666
Filipe Luís Kasmirski,46,4078,1,3,88.65217391304348,0.06521739130434782
Daniel Alves da Silva,232,20409,19,24,87.96982758620689,0.10344827586206896
Gerard Piqué Bernabéu,306,26978,12,31,88.16339869281046,0.10130718954248366
Javier Alejandro Mascherano,195,17135,22,19,87.87179487179488,0.09743589743589744
Diego da Silva Costa,43,3650,4,14,84.88372093023256,0.32558139534883723
Víctor Valdés Arribas,254,22697,0,1,89.35826771653544,0.003937007874015748
Jorge Resurrección Merodio,62,5486,6,12,88.48387096774194,0.1935483870967742
Arda Turan,41,3299,14,15,80.46341463414635,0.36585365853658536
